DIPUTADO	BLOQUE	BLOQUE (historico)	PROVINCIA	142-21-1	142-21-2	142-21-3	142-21-4	142-21-5	142-21-6	142-21-7	142-22-1	142-22-2	142-22-3	142-22-4	142-22-5	142-22-6	142-22-7	142-22-8	142-22-9	142-22-10	0143-01-01	0143-01-02	0143-01-03	0143-01-04	0143-01-05	0143-01-06	0143-01-07	0143-02-01	0143-02-02	0143-02-03	0143-04-01	0143-04-02	0143-04-03	0143-04-04	0143-04-05	0143-04-06	0143-04-07	0143-09-01	0143-09-02	0143-09-03	0143-09-04	0143-09-05	0143-09-06	0143-09-07	0143-09-08	0143-09-09	0143-09-10	0143-09-11	0143-09-12	0143-09-13	0143-10-01	0143-10-02	0143-10-03	0143-10-04	0143-11-01	0143-11-02	0143-11-03	0143-11-04	0143-11-05	0143-11-06	0143-11-07	0143-11-08	0143-11-09	0143-11-10	0143-11-11	0143-11-12	0143-11-13	0143-11-14	0143-12-01	0143-12-02	0143-12-03	0143-12-04	0143-12-05	0143-12-06	0143-12-07	0143-12-08	0143-12-09	0143-12-10	143-14-1	143-14-2	143-14-3	143-14-4	143-14-5	143-14-6	143-15-1	143-15-2	143-15-3	143-15-4	143-15-5	143-15-6	143-15-7	143-15-8	143-15-9	143-15-10	143-15-11	143-15-12	143-15-13	143-15-14	143-15-15	143-15-16	SinDatos
CERVI, PABLO	LIGA DEL INTERIOR ELI	UCR   UNION CIVICA RADICAL → LIGA DEL INTERIOR ELI	NEUQUÉN	NEGATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	AFIRMATIVO	AUSENTE	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	NEGATIVO	NEGATIVO	NEGATIVO	AFIRMATIVO	AUSENTE	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	AUSENTE	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	AFIRMATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	AFIRMATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	AFIRMATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	AFIRMATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	AUSENTE	AUSENTE	AUSENTE	NEGATIVO	0
CERVI, PABLO	UCR   UNION CIVICA RADICAL		NEUQUÉN																																																																																																		97
CHAHER, LEILA	UNION POR LA PATRIA		JUJUY	AFIRMATIVO	AFIRMATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AFIRMATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	0
CHICA, JORGE	UNION POR LA PATRIA		SAN JUAN	AFIRMATIVO	AFIRMATIVO	NEGATIVO	ABSTENCION	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	0
CHOMIAK, MARIA LUISA	UNION POR LA PATRIA		CHACO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	ABSTENCION	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	0
CHUMPITAZ, GABRIEL FELIPE	FUTURO Y LIBERTAD	PRO → FUTURO Y LIBERTAD	SANTA FE	NEGATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AUSENTE	AFIRMATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	NEGATIVO	AUSENTE	NEGATIVO	NEGATIVO	AUSENTE	AUSENTE	AUSENTE	AUSENTE	NEGATIVO	NEGATIVO	NEGATIVO	AFIRMATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	AFIRMATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AUSENTE	NEGATIVO	NEGATIVO	NEGATIVO	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	0
CIPOLINI, GERARDO	UCR   UNION CIVICA RADICAL		CHACO	AUSENTE	AUSENTE	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AUSENTE	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	NEGATIVO	NEGATIVO	AUSENTE	NEGATIVO	NEGATIVO	AFIRMATIVO	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AFIRMATIVO	NEGATIVO	AFIRMATIVO	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	NEGATIVO	AUSENTE	NEGATIVO	NEGATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	ABSTENCION	ABSTENCION	ABSTENCION	ABSTENCION	ABSTENCION	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	0
CISNEROS, CARLOS	UNION POR LA PATRIA		TUCUMÁN	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AUSENTE	AUSENTE	AUSENTE	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AUSENTE	NEGATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	0
COBOS, JULIO	UCR   UNION CIVICA RADICAL		MENDOZA	ABSTENCION	NEGATIVO	NEGATIVO	ABSTENCION	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	AFIRMATIVO	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AFIRMATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AUSENTE	AUSENTE	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AUSENTE	AUSENTE	AUSENTE	AUSENTE	0
COLETTA, MARIELA	DEMOCRACIA PARA SIEMPRE		C.A.B.A.	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	NEGATIVO	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	SIN VOTAR	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	ABSTENCION	AFIRMATIVO	AFIRMATIVO	NEGATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AUSENTE	AFIRMATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AUSENTE	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	0
COLI, MARCELA	DEMOCRACIA PARA SIEMPRE		LA PAMPA	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	AUSENTE	AUSENTE	AUSENTE	NEGATIVO	AUSENTE	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AUSENTE	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	ABSTENCION	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	0
CORREA LLANO, FACUNDO	LA LIBERTAD AVANZA		MENDOZA	NEGATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	AFIRMATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	NEGATIVO	NEGATIVO	NEGATIVO	AFIRMATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	AUSENTE	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	AFIRMATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	AFIRMATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	AFIRMATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	AFIRMATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	AUSENTE	AUSENTE	AUSENTE	AUSENTE	0
D'ALESSANDRO, CARLOS	COHERENCIA	LA LIBERTAD AVANZA → COHERENCIA	SAN LUIS	NEGATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	AFIRMATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	NEGATIVO	NEGATIVO	NEGATIVO	AFIRMATIVO	NEGATIVO	NEGATIVO	NEGATIVO	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	AFIRMATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AUSENTE	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	0
DAIVES, RICARDO	UNION POR LA PATRIA		SANTIAGO DEL ESTERO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	AUSENTE	AUSENTE	AUSENTE	NEGATIVO	AFIRMATIVO	NEGATIVO	ABSTENCION	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AUSENTE	AUSENTE	NEGATIVO	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	NEGATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	0
DE LA SOTA, NATALIA	ENCUENTRO FEDERAL		CÓRDOBA	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AUSENTE	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AUSENTE	AUSENTE	NEGATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	NEGATIVO	AUSENTE	AUSENTE	AUSENTE	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AUSENTE	AUSENTE	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AUSENTE	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AUSENTE	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AUSENTE	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AUSENTE	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	AFIRMATIVO	0
